,0,1
244,,
245,,
246,30.716856,-88.1833364
247,,
248,33.2101155,-97.7547552
249,,
250,33.19784505,-87.5475562635525
251,,
252,33.4306238,-87.0342663
253,,
254,32.7489425,-97.2318031733872
255,,
256,,
257,,
258,,
259,,
260,,
261,,
262,,
263,26.1395132,-80.1755261
264,,
265,,
266,30.8326865,-89.5264533
267,,
268,,
269,,
270,,
271,,
272,39.51617275,-76.1700633364923
273,,
274,41.7639962,-72.7023136140907
275,,
276,40.65836875,-73.9435907684614
277,,
278,,
279,40.610508,-73.9476669316718
280,,
281,35.0998316,-90.0169986871079
282,,
283,42.28523395,-71.0759266020687
284,,
285,,
286,43.2812307,-72.478112
287,,
288,41.3115209,-81.9223377872299
289,,
290,36.1385128,-115.120910333611
291,,
292,,
293,,
294,,
295,,
296,,
297,38.8033973,-77.2645512784285
298,,
299,,
300,40.6963413,-73.7178335951826
301,,
302,42.40024135,-83.1912998056219
303,,
304,,
305,34.71438075,-86.5846805525783
306,,
307,,
308,,
309,,
310,39.31770655,-76.6635123304868
311,,
312,31.8315345,-99.4331202
313,,
314,,
315,35.8146692,-86.4095728
316,,
317,,
318,,
319,38.66237815,-90.2221340328213
320,,
321,,
322,40.7739262,-73.2552728750889
323,,
324,25.90050195,-80.1828441392816
325,,
326,40.7629488,-82.5424446099341
327,,
328,40.3041042,-78.9094578951872
329,,
330,42.4391917,-83.236371234308
331,,
332,,
333,39.3094276,-76.6776527754184
334,,
335,,
336,31.1068452,-97.3533383
337,,
338,33.890563,-118.228570985466
339,,
340,,
341,42.3969025,-83.0971115123712
342,,
343,,
344,,
345,40.0208861,-86.9073172
346,,
347,42.3199408,-89.0840544209602
348,,
349,,
350,38.2494547,-85.770036186656
351,,
352,29.6848622,-95.515562401693
353,,
354,,
355,43.0510043,-75.3807071
356,,
357,,
358,,
359,,
360,,
361,29.82315175,-95.3979003878122
362,,
363,33.9119594,-117.5472718
364,,
365,41.5026696,-81.5630092897385
366,,
367,42.42140915,-83.1632856
368,,
369,,
370,32.8425413,-97.2296989970356
371,,
372,,
373,,
374,42.3828806,-83.112605
375,,
376,42.37428105,-82.9782010662024
377,,
378,40.5469974,-84.5878515676528
379,,
380,39.9970133,-85.7338737
381,,
382,30.22807585,-90.9152616105298
383,,
384,,
385,,
386,32.7195106,-97.1184933269249
387,,
388,,
389,,
390,41.74177635,-72.7059215573725
391,,
392,29.9001799,-95.3286552710199
393,,
394,,
395,,
396,,
